source,end_date,election_date,cycle,race,election,sample_size,type,rv,lv,days_out,dem,actual_dem,abs_dem_error
SurveyUSA[18],2012-05-29,2012-06-05,2012.0,President,Primary,1575.0,RV,1,0,7.0,0.57,0.5088,0.0612
Field Research Corporation (Field Poll)[19],2012-05-29,2012-06-05,2012.0,President,Primary,710.0,RV,1,0,7.0,0.48,0.5088,0.0288
USC Dornsife/Los Angeles Times/Greenberg Quinlan Rosner/American Viewpoint[20],2012-05-21,2012-06-05,2012.0,President,Primary,1002.0,RV,1,0,15.0,0.56,0.5088,0.0512
Public Policy Institute of California[21],2012-05-20,2012-06-05,2012.0,President,Primary,894.0,LV,0,1,16.0,0.5,0.5088,0.0088
SurveyUSA[22],2012-04-02,2012-06-05,2012.0,President,Primary,1995.0,RV,1,0,64.0,0.62,0.5088,0.1112
USC Dornsife/Los Angeles Times/Greenberg Quinlan Rosner/American Viewpoint[23],2012-03-19,2012-06-05,2012.0,President,Primary,1500.0,RV,1,0,78.0,0.57,0.5088,0.0612
Field Research Corporation (Field Poll)[24],2012-02-18,2012-06-05,2012.0,President,Primary,1000.0,RV,1,0,108.0,0.55,0.5088,0.0412
Survey USA,2012-04-02,2012-06-05,2012.0,US Senate,Primary,1314.0,LV,0,1,64.0,0.53,0.565,0.035
Survey USA,2012-05-29,2012-06-05,2012.0,US Senate,Primary,1232.0,LV,0,1,7.0,0.48,0.565,0.085
YouGov[14],2012-11-03,2012-11-06,2012.0,President,General,1575.0,LV,0,1,3.0,0.55,0.602,0.052
Field Research[15],2012-10-30,2012-11-06,2012.0,President,General,1566.0,LV,0,1,7.0,0.54,0.602,0.062
CBRT/Pepperdine University/M4 Strategies[16],2012-10-28,2012-11-06,2012.0,President,General,2115.0,LV,0,1,9.0,0.559,0.602,0.043
USC Dornsife/Los Angeles Times/Greenberg Quinlan Rosner/American Viewpoint[17],2012-10-21,2012-11-06,2012.0,President,General,1400.0,LV,0,1,16.0,0.55,0.602,0.052
Public Policy Institute of California[18],2012-10-21,2012-11-06,2012.0,President,General,993.0,LV,0,1,16.0,0.53,0.602,0.072
Reason-Rupe Public Opinion/Princeton Survey Research Associates International[19],2012-10-15,2012-11-06,2012.0,President,General,508.0,LV,0,1,22.0,0.53,0.602,0.072
YouGov[20],2012-10-11,2012-11-06,2012.0,President,General,1169.0,LV,0,1,26.0,0.58,0.602,0.022
CBRT/Pepperdine University/M4 Strategies[21],2012-10-10,2012-11-06,2012.0,President,General,830.0,LV,0,1,27.0,0.54,0.602,0.062
SurveyUSA[22],2012-10-09,2012-11-06,2012.0,President,General,539.0,LV,0,1,28.0,0.53,0.602,0.072
Field Research Corporation/UC Berkeley (Field Poll)[23],2012-09-17,2012-11-06,2012.0,President,General,848.0,LV,0,1,50.0,0.58,0.602,0.022
Public Policy Institute of California[24],2012-09-16,2012-11-06,2012.0,President,General,995.0,LV,0,1,51.0,0.53,0.602,0.072
YouGov[25],2012-09-14,2012-11-06,2012.0,President,General,1361.0,LV,0,1,53.0,0.56,0.602,0.042
CBRT/Pepperdine University/M4 Strategies[26],2012-09-12,2012-11-06,2012.0,President,General,802.0,LV,0,1,55.0,0.554,0.602,0.048
SurveyUSA[27],2012-09-11,2012-11-06,2012.0,President,General,524.0,LV,0,1,56.0,0.57,0.602,0.032
Policy Analysis for California Education/USC Rossier School of Education/Tulchin Research[15],2012-08-07,2012-11-06,2012.0,President,General,1041.0,LV,0,1,91.0,0.556,0.602,0.046
CBRT/Pepperdine University/M4 Strategies[16],2012-07-17,2012-11-06,2012.0,President,General,812.0,LV,0,1,112.0,0.519,0.602,0.083
Field Research Corporation (Field Poll)[17],2012-07-02,2012-11-06,2012.0,President,General,848.0,LV,0,1,127.0,0.55,0.602,0.052
SurveyUSA[29],2012-05-29,2012-11-06,2012.0,US Senate,General,1575.0,,0,0,161.0,0.5,0.625,0.125
