county,year,month,general,primary,presidential,midterm,registered_voters,votes_cast,turnout_rate
Alpine,2024,Nov,1,0,1,0,954,749,0.7851153
Amador,2024,Nov,1,0,1,0,26488,22762,0.85933253
Calaveras,2024,Nov,1,0,1,0,33059,26885,0.81324299
El Dorado,2024,Nov,1,0,1,0,135300,114023,0.84274205
Inyo,2024,Nov,1,0,1,0,10807,9096,0.84167669
Madera,2024,Nov,1,0,1,0,78204,55329,0.70749578
Mariposa,2024,Nov,1,0,1,0,11739,9616,0.81914984
Merced,2024,Nov,1,0,1,0,132007,87473,0.6626391
Mono,2024,Nov,1,0,1,0,7789,6167,0.79175761
Nevada,2024,Nov,1,0,1,0,75654,63240,0.83591086
Placer,2024,Nov,1,0,1,0,291479,239402,0.82133533
Stanislaus,2024,Nov,1,0,1,0,293212,200183,0.68272445
Tuolumne,2024,Nov,1,0,1,0,35472,29240,0.82431213
Alpine,2024,Mar,0,1,1,0,941,440,0.46758767
Amador,2024,Mar,0,1,1,0,25824,15148,0.58658612
Calaveras,2024,Mar,0,1,1,0,32152,17670,0.54957701
El Dorado,2024,Mar,0,1,1,0,131028,67205,0.51290564
Inyo,2024,Mar,0,1,1,0,10642,5827,0.54754745
Madera,2024,Mar,0,1,1,0,74723,27609,0.36948463
Mariposa,2024,Mar,0,1,1,0,11469,6226,0.54285465
Merced,2024,Mar,0,1,1,0,127118,37912,0.29824258
Mono,2024,Mar,0,1,1,0,7522,3486,0.46344057
Nevada,2024,Mar,0,1,1,0,74137,39579,0.53386298
Placer,2024,Mar,0,1,1,0,281556,135869,0.48256475
Stanislaus,2024,Mar,0,1,1,0,285977,85934,0.3004927
Tuolumne,2024,Mar,0,1,1,0,34816,18353,0.52714269
Alpine,2022,Nov,1,0,0,1,915,623,0.68087432
Amador,2022,Nov,1,0,0,1,25954,18918,0.72890499
Calaveras,2022,Nov,1,0,0,1,32172,21566,0.67033445
El Dorado,2022,Nov,1,0,0,1,138537,89823,0.64836831
Inyo,2022,Nov,1,0,0,1,10729,7577,0.7062168
