county,election,county_dem_share,state_dem_share,weight,county_lean
Alpine,2024_pres_gen,0.6491,0.585,0.2,0.0641
Alpine,2024_senate_pri,0.6587,0.5946,0.1,0.0641
Alpine,2024_senate_gen,0.6386,0.589,0.2,0.0496
Alpine,2022_ss4_pri,0.6023,,0.2,
Alpine,2022_senate_pri,0.626,0.591,0.05,0.035
Alpine,2022_gov_pri,0.6078,0.5874,0.05,0.0204
Alpine,2022_senate_gen,0.6078,0.611,0.1,-0.0032
Alpine,2022_gov_gen,0.5864,0.592,0.1,-0.0056
Amador,2024_pres_gen,0.3474,0.585,0.2,-0.2376
Amador,2024_senate_pri,0.3552,0.5946,0.1,-0.2394
Amador,2024_senate_gen,0.339,0.589,0.2,-0.25
Amador,2022_ss4_pri,0.3505,,0.2,
Amador,2022_senate_pri,0.3624,0.591,0.05,-0.2286
Amador,2022_gov_pri,0.3532,0.5874,0.05,-0.2342
Amador,2022_senate_gen,0.3537,0.611,0.1,-0.2573
Amador,2022_gov_gen,0.3231,0.592,0.1,-0.2689
Calaveras,2024_pres_gen,0.3467,0.585,0.2,-0.2383
Calaveras,2024_senate_pri,0.3597,0.5946,0.1,-0.2349
Calaveras,2024_senate_gen,0.3436,0.589,0.2,-0.2454
Calaveras,2022_ss4_pri,0.3693,,0.2,
Calaveras,2022_senate_pri,0.3724,0.591,0.05,-0.2186
Calaveras,2022_gov_pri,0.3753,0.5874,0.05,-0.2121
Calaveras,2022_senate_gen,0.3631,0.611,0.1,-0.2479
Calaveras,2022_gov_gen,0.3344,0.592,0.1,-0.2576
El Dorado,2024_pres_gen,0.4263,0.585,0.2,-0.1587
El Dorado,2024_senate_pri,0.4125,0.5946,0.1,-0.1821
El Dorado,2024_senate_gen,0.4143,0.589,0.2,-0.1747
El Dorado,2022_ss4_pri,0.3893,,0.2,
El Dorado,2022_senate_pri,0.4125,0.591,0.05,-0.1785
El Dorado,2022_gov_pri,0.4007,0.5874,0.05,-0.1867
El Dorado,2022_senate_gen,0.4181,0.611,0.1,-0.1929
El Dorado,2022_gov_gen,0.3895,0.592,0.1,-0.2025
Inyo,2024_pres_gen,0.4693,0.585,0.2,-0.1157
Inyo,2024_senate_pri,0.4641,0.5946,0.1,-0.1305
Inyo,2024_senate_gen,0.4694,0.589,0.2,-0.1196
Inyo,2022_ss4_pri,0.4409,,0.2,
Inyo,2022_senate_pri,0.4426,0.591,0.05,-0.1484
Inyo,2022_gov_pri,0.4438,0.5874,0.05,-0.1436
