county,date,year,month,registered_voters
Alpine,2012-06-01,2012,6,813
Alpine,2012-11-01,2012,11,773
Alpine,2014-06-01,2014,6,766
Alpine,2014-11-01,2014,11,764
Alpine,2016-06-01,2016,6,717
Alpine,2016-11-01,2016,11,722
Alpine,2018-06-01,2018,6,735
Alpine,2018-11-01,2018,11,758
Alpine,2020-03-01,2020,3,788
Alpine,2020-11-01,2020,11,869
Alpine,2022-06-01,2022,6,917
Alpine,2022-11-01,2022,11,915
Alpine,2024-03-01,2024,3,941
Alpine,2024-11-01,2024,11,954
Alpine,2026-06-01,2026,6,930
Alpine,2026-11-01,2026,11,944
Amador,2012-06-01,2012,6,20739
Amador,2012-11-01,2012,11,21503
Amador,2014-06-01,2014,6,21200
Amador,2014-11-01,2014,11,20798
Amador,2016-06-01,2016,6,21266
Amador,2016-11-01,2016,11,22417
Amador,2018-06-01,2018,6,21875
Amador,2018-11-01,2018,11,22305
Amador,2020-03-01,2020,3,23717
Amador,2020-11-01,2020,11,25605
Amador,2022-06-01,2022,6,26343
Amador,2022-11-01,2022,11,25954
Amador,2024-03-01,2024,3,25824
Amador,2024-11-01,2024,11,26488
Amador,2026-06-01,2026,6,26957
Amador,2026-11-01,2026,11,27416
Calaveras,2012-06-01,2012,6,28050
Calaveras,2012-11-01,2012,11,29014
Calaveras,2014-06-01,2014,6,27263
Calaveras,2014-11-01,2014,11,27068
Calaveras,2016-06-01,2016,6,27532
Calaveras,2016-11-01,2016,11,29555
Calaveras,2018-06-01,2018,6,28449
Calaveras,2018-11-01,2018,11,29591
Calaveras,2020-03-01,2020,3,29889
Calaveras,2020-11-01,2020,11,31364
Calaveras,2022-06-01,2022,6,31985
Calaveras,2022-11-01,2022,11,32172
Calaveras,2024-03-01,2024,3,32152
Calaveras,2024-11-01,2024,11,33059
Calaveras,2026-06-01,2026,6,32819
Calaveras,2026-11-01,2026,11,33312
El Dorado,2012-06-01,2012,6,104856
El Dorado,2012-11-01,2012,11,110634
El Dorado,2014-06-01,2014,6,106944
El Dorado,2014-11-01,2014,11,106931
El Dorado,2016-06-01,2016,6,109479
El Dorado,2016-11-01,2016,11,116459
El Dorado,2018-06-01,2018,6,115431
El Dorado,2018-11-01,2018,11,121192
El Dorado,2020-03-01,2020,3,124979
El Dorado,2020-11-01,2020,11,135554
El Dorado,2022-06-01,2022,6,137610
