election,dem_share,cycle,previous_turnout,inflation,approval,presidential
2012 US Senate Primary,0.565,2012,0.7722,1.7,0.46,1
2012 President Primary,0.5088,2012,0.7722,1.7,0.46,1
2012 US Senator General,0.625,2012,0.5854858548585485,1.7,0.51,1
2012 President General,0.602,2012,0.5854858548585485,1.7,0.51,1
2014 Governor Primary,0.5535,2014,0.8486416558861578,2.1,0.44,0
2014 Governor General,0.6,2014,0.695822454308094,0.8,0.4,0
2016 US Senate Primary,0.6405,2016,0.612565445026178,1.0,0.51,1
2016 President Primary,0.6904,2016,0.612565445026178,1.0,0.51,1
2016 President General,0.617,2016,0.7322175732217573,2.1,0.54,1
2018 US Senate Primary,0.6343,2018,0.8601108033240997,2.9,0.42,0
2018 Governor Primary,0.625,2018,0.8601108033240997,2.9,0.42,0
2018 Governor General,0.619,2018,0.5659863945578232,1.9,0.4,0
2020 President Primary,0.692,2020,0.8258575197889182,1.5,0.475,1
2020 President General,0.635,2020,0.6472081218274112,1.4,0.43,1
2022 US Senate Primary,0.591,2022,0.8619102416570771,9.1,0.41,0
2022 Governor Primary,0.5874,2022,0.8619102416570771,9.1,0.41,0
2022 US Senate General,0.611,2022,0.6106870229007634,6.5,0.4,0
2022 Governor General,0.592,2022,0.6106870229007634,6.5,0.4,0
2024 US Senate Primary,0.5946,2024,0.6808743169398908,3.5,0.4,1
2024 US Senate General,0.589,2024,0.5865861214374225,2.9,0.37,1
2024 Presidential General,0.585,2024,0.5865861214374225,2.9,0.37,1
2026 Governor Primary,0.6237,2026,0.785115303983229,3.8,0.39,0
